userid,username,followers,tweets,profile_desc,location,verified,entities
1055501800407777280,JBloxytbr,57,1464,peidei,,False,
820817422454325252,razuatix,28958,133,"👋 @paradoxum_games w/ @BelowNatural
📧 Contact: jake@paradoxum.games","Washington, D.C.",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/z6fFCLw1eg', 'expanded_url': 'http://paradoxum.games', 'display_url': 'paradoxum.games'}]}, 'description': {'mentions': [{'start': 2, 'end': 18, 'username': 'paradoxum_games'}, {'start': 22, 'end': 35, 'username': 'BelowNatural'}]}}"
1515166524302147584,dischargesoda,462,2491,i fb all yb fans,Cross,False,
1339038066447675392,LuisAngelPBGam1,24,396,"Hola Soy Luis Angel y Aquí Está Mi Redes Sociales
WhatsApp: Dime Privado 
Instagram: https://t.co/mOtYze6PtN
Roblox: LuisAngelPBGamer",,False,"{'description': {'urls': [{'start': 85, 'end': 108, 'url': 'https://t.co/mOtYze6PtN', 'expanded_url': 'https://www.instagram.com/luis._angel_.12/', 'display_url': 'instagram.com/luis._angel_.1…'}]}}"
954980742,BoneJeni,3135,72931,"Living on Yugambeh land.  
Grammarian, Arts & Sciences, WFH writer, reader, life-long learner, mum.",,False,
3265713722,jujuadl71,2238,12212,"On Kaurna land. Mother, lawyer, feminist, activist, condiments commentator. The pursuit of social justice is my everything. I swear a LOT.
Views ENTIRELY my own","Adelaide, South Australia",False,
1405582052980936707,XayyL_,2237,17292,"Juste pour Info 🔔 
Je n'ai pas de compte Snapchat donc merci de ne pas faire attention à tous ces fakes ☝🏽⛔️",,False,
1460014959195262976,_unke_,192,5748,"fan de Kanté et Kakà️️/ Courtois prochain BO/
 @chelseafc",,False,"{'description': {'mentions': [{'start': 47, 'end': 57, 'username': 'chelseafc'}]}}"
1295639093594988544,kpbloxy,14,555,"a person which exists on twitter with regrets
youtuber, artist and memer",,False,
1056053249470541824,Roblox_RTC,457175,24465,It's our mission to be one with the community and make this the best place to be! | We are *NOT* @Roblox! | DM 💌 with new info! | Layout by: @PazeTweets,Following ≠ Endorsement,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/t4QnFMvIXg', 'expanded_url': 'http://rtcnews.ca', 'display_url': 'rtcnews.ca'}]}, 'description': {'mentions': [{'start': 97, 'end': 104, 'username': 'Roblox'}, {'start': 141, 'end': 152, 'username': 'PazeTweets'}]}}"
1530939221690748931,aydenlol20,2,33,hey,,False,
1106343619546484737,UndecidedNam_e,42,5338,"An SFM Animator | Into BATIM, FNAF, and Undertale/Deltarune",,False,
817242689112375296,link55001YT,9,199,,,False,
901894986836279296,Bloxy_News,655516,11665,"Bringing you the latest and greatest @Roblox news.
Have news to report? Send a DM!

*Not affiliated with Roblox Corporation; account managed by @BLOXZ_",The Metaverse,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WPwKP8Hf7N', 'expanded_url': 'https://bloxy.news/links', 'display_url': 'bloxy.news/links'}]}, 'description': {'mentions': [{'start': 37, 'end': 44, 'username': 'Roblox'}, {'start': 144, 'end': 151, 'username': 'BLOXZ_'}]}}"
