userid,username,followers,tweets,profile_desc,location,verified,entities
1520013812908408834,BottleOfYBWater,1398,11873,16 || The best Bottle of Water you'll find on this app. Former Timeline curser. All my tweets are satire.,The Lone Star State,False,
1056053249470541824,Roblox_RTC,457181,24465,It's our mission to be one with the community and make this the best place to be! | We are *NOT* @Roblox! | DM 💌 with new info! | Layout by: @PazeTweets,Following ≠ Endorsement,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/t4QnFMvIXg', 'expanded_url': 'http://rtcnews.ca', 'display_url': 'rtcnews.ca'}]}, 'description': {'mentions': [{'start': 97, 'end': 104, 'username': 'Roblox'}, {'start': 141, 'end': 152, 'username': 'PazeTweets'}]}}"
858065622097436672,badimo,603663,2078,Official Twitter account for Badimo. We made #Jailbreak on @Roblox!  Created by @asimo3089 and @badccvoid.,Jailbreak,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2DgW3cHl06', 'expanded_url': 'http://jb.badimo.org', 'display_url': 'jb.badimo.org'}]}, 'description': {'hashtags': [{'start': 45, 'end': 55, 'tag': 'Jailbreak'}], 'mentions': [{'start': 59, 'end': 66, 'username': 'Roblox'}, {'start': 80, 'end': 90, 'username': 'asimo3089'}, {'start': 95, 'end': 105, 'username': 'badccvoid'}]}}"
204563745,asimo3089,809341,26007,27. Roblox Player and Creator. Co-owner of Jailbreak with @badccvoid. Previously did work at @Roblox.,AZ,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/c3FmYvBtAx', 'expanded_url': 'http://www.roblox.com/User.aspx?ID=2837719', 'display_url': 'roblox.com/User.aspx?ID=2…'}]}, 'description': {'mentions': [{'start': 58, 'end': 68, 'username': 'badccvoid'}, {'start': 93, 'end': 100, 'username': 'Roblox'}]}}"
125138079,badccvoid,333682,4602,"23, programming Jailbreak on @Roblox, autopilot @Tesla Summer 2020, Duke University.","Miami, FL",True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lKz3Q3maC5', 'expanded_url': 'http://jb.badimo.org', 'display_url': 'jb.badimo.org'}]}, 'description': {'mentions': [{'start': 29, 'end': 36, 'username': 'Roblox'}, {'start': 48, 'end': 54, 'username': 'Tesla'}]}}"
4093077509,ftDerpy,66329,9599,,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DuneSJbWzg', 'expanded_url': 'https://www.youtube.com/ftDerpy', 'display_url': 'youtube.com/ftDerpy'}]}}"
1365846170065637378,justcrosstrades,3380,29571,╭💜₊˚๑ Jess || 🧎‍♀️|| 🌸 ₊˚ɞ || ╰・ 310+ proofs ||• ₊˚ɞ|| ily HIA ||₊˚๑ わたしは、あなたを愛しています b: ilysm yall,Why?,False,
1166538336267202561,BlueNinjaGames1,438,6407,"Gamer, Dev, YouTuber, and a Twitter bird like you. Only Ws + Never taken an L + Block me, I OWN YOU. I fb YB fans #NFTSAREOVERPARTY #StandWithUkraine","The Metaverse, Roblox",False,"{'description': {'hashtags': [{'start': 114, 'end': 131, 'tag': 'NFTSAREOVERPARTY'}, {'start': 132, 'end': 149, 'tag': 'StandWithUkraine'}]}}"
1405994190618648586,Lucasifyy,1105,8466,"Arsenal, TC2, & TDS enjoyer🤠| L counter: 0❌🧢| Only W's💯| Not a troll 🧌| Block me = Pwned 🥱| IFB 🐐👑 | YB =🐐| DM if i dont FB 😭| #spreeswoats #shinegoats",⚠ 60% of my posts are bait ⚠,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ePA8UmGa7I', 'expanded_url': 'https://lucasify.carrd.co/', 'display_url': 'lucasify.carrd.co'}]}, 'description': {'hashtags': [{'start': 127, 'end': 139, 'tag': 'spreeswoats'}, {'start': 140, 'end': 151, 'tag': 'shinegoats'}]}}"
1387905137360965633,Splashnomical,1017,42462,Any Pronouns|16|Professional W Taker|Dokkan and legends are my only gachas|Janemba Stan|#POTATOHATERZ|Header by Abul Kamido|Furry|,Hell,False,"{'description': {'hashtags': [{'start': 88, 'end': 101, 'tag': 'POTATOHATERZ'}]}}"
2782793664,Lonnwick,16118,16343,JESUS 👑🙏🏼❤️ YouTuber/Game Dev. 200K+ subs. 290M+ plays on my games.,"Maine, USA",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/86pMk9VKiB', 'expanded_url': 'http://YouTube.com/MrLonnieAdolphsen', 'display_url': 'YouTube.com/MrLonnieAdolph…'}]}}"
1290695369060491266,Axylotl_,2472,36569,FN Creative Pro | Mutually friendly💙 | Creator of Neo-Battles Rebooted - (Current Code in Location) | I like to build | Code Quickzy3549 to support me! #ad,3071-0494-9164 🍀,False,"{'description': {'hashtags': [{'start': 152, 'end': 155, 'tag': 'ad'}]}}"
1407897302476505089,Cheezythecool,362,20006,"DJ I LOVE YOU VERY MUCH MWA💖💖💖💖💖🤧🤧
any pronouns 👌
I do silly tweets sometimes/ unfunny tweets
pfp by dj loel
🇭🇳",PLS READ TXTI,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uMOOFyN7OM', 'expanded_url': 'http://txti.es/iy3eg', 'display_url': 'txti.es/iy3eg'}]}}"
1301808701913722881,StarTom_Real,464,825,"Hi you can just call me tom! 

🇹🇼中文/English 
 Roblox Modeler | Composer | Video Editor | I love TF2",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3d6lyy0euG', 'expanded_url': 'https://youtu.be/azxYihbK6Q8', 'display_url': 'youtu.be/azxYihbK6Q8'}]}}"
1322086688848564225,_TTGD_Roblox,2493,725,"An upcoming Roblox Thomas and Friends game based on the HiT Entertainment Era!

Account run by @Kool_Aid203",,False,"{'description': {'mentions': [{'start': 95, 'end': 107, 'username': 'Kool_Aid203'}]}}"
975201957152546821,shunting_yard,1850,104532,"He/Him - I think trains are pretty neat I guess, they go choo choo and stuff",The Shunting Yards,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/AeH4cZRznz', 'expanded_url': 'https://www.youtube.com/channel/UCg-uNlcyqt-7h6UXdbfSuNw', 'display_url': 'youtube.com/channel/UCg-uN…'}]}}"
850747424809385985,Zachary1250,7,108,,,False,
1132495425913655297,armordust,30,350,Hey! Im liam of fivelivesgaming and fun!,In your megahertz,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/4IPgKhTZYP', 'expanded_url': 'https://bit.ly/2K2RTkY', 'display_url': 'bit.ly/2K2RTkY'}]}}"
1303505632297975808,ElijahEscoro,41,2628,what? I'm elijah call me eli and I like MYX ;-;,Trash bin :D,False,
1059857409286520832,kreisscore_,36,1669,carrd byf ⚜️ IDV/genshin + misc ⚜️ {17},he/him🏳️‍⚧️,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xKf2Hbtb0k', 'expanded_url': 'https://a3s0pp.carrd.co/', 'display_url': 'a3s0pp.carrd.co'}]}}"
1247642639756865540,Nadtools,348,859,"Professional in all Hacking and Recovery Services. 100% Legit, Secure and Fast.

Active 24/7 📩📩📩 +1 (762) 218-2641 (WHATSAPP ONLY).",United States,False,
2883768106,Bx8g_,17,1477,Incredibly obsessed with skittles. ._.,,False,
1382646489579667456,ninn10doman,4,318,i am a youtuber https://t.co/dr0yj6hkUw,"Tennessee, USA",False,"{'description': {'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/dr0yj6hkUw', 'expanded_url': 'http://youtube.com/NFTStealer', 'display_url': 'youtube.com/NFTStealer'}]}}"
726896310,Pokediger1,462303,39842,The original Poke. Roblox king. #1 voted gold digger catcher https://t.co/xKQ2L824Ov,"Dallas, TX",True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3SIVVEGbRl', 'expanded_url': 'http://youtube.com/c/pokediger1', 'display_url': 'youtube.com/c/pokediger1'}]}, 'description': {'urls': [{'start': 61, 'end': 84, 'url': 'https://t.co/xKQ2L824Ov', 'expanded_url': 'http://poke.shop', 'display_url': 'poke.shop'}]}}"
1397334303151992834,Blakesdemise,32,847,Only take Ws + No Ls taken + block me if your mad. YB =🐐| if FB DM me 😤,⚠️70% of my post are bait!⚠️,False,
1454886101110378497,AcePlIot,6,92,sup this u? https://t.co/G00inAAhZR ⠀⠀⠀,UwU world,False,"{'description': {'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/G00inAAhZR', 'expanded_url': 'https://www.roblox.com/users/profile', 'display_url': 'roblox.com/users/profile'}]}}"
16745055,Roblox,5129291,10281,"Bringing the world together to play, create, explore, and socialize within millions of 3D virtual worlds. 

For support, go to https://t.co/yRCNeQf3Nf.",California,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nETwh2gRPi', 'expanded_url': 'https://rblx.co/Roblox', 'display_url': 'rblx.co/Roblox'}]}, 'description': {'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/yRCNeQf3Nf', 'expanded_url': 'http://rblx.co/help', 'display_url': 'rblx.co/help'}]}}"
