userid,username,followers,tweets,profile_desc,location,verified,entities
1307279600976687104,pandarose204,60,2818,pandas 🐼 coffee ☕️ roblox 🎮,,False,
1314634072656936961,overlookbayy,41,773,heartstopper addict 😩,"England, United Kingdom",False,
1259271090603536384,WonderWorksRB,112318,1358,Creating Wondrous Works in the Metaverse!✨ For Official Business Inquires: bizdev@wonderworks.gg,Roblox,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Okmj4T09NG', 'expanded_url': 'https://www.wonderworks.gg', 'display_url': 'wonderworks.gg'}]}}"
1389503161862443009,Maxsswrld,3,238,Hi im Max I the Owner of the Group Kittie army in Roblox.Stay Safe :D,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/irubkOOu7t', 'expanded_url': 'https://web.roblox.com/groups/6014561/Kittie-Army', 'display_url': 'web.roblox.com/groups/6014561…'}]}}"
1461177442568228864,AndrewSkechak,0,6,"Number 26.
Dream collage Auburn 
Maybe NFL?",,False,
1071938981389045765,PRC_Roblox,52418,572,Official Twitter for Police Roleplay Community of Roblox. Group behind Emergency Response: Liberty County. 🚓 https://t.co/x8o0xpmx0l…,https://discord.gg/prc,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/W7yTCu37t8', 'expanded_url': 'https://policeroleplay.community/', 'display_url': 'policeroleplay.community'}]}, 'description': {'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/x8o0xpmx0l', 'expanded_url': 'http://roblox.com/games/25347244', 'display_url': 'roblox.com/games/25347244'}]}}"
1301519852746747908,Spire_EndBlum,6,412,"Twitter sucks. I rarely tweet cause nothing funny really. Don’t expect anything interesting if you follow me. FYI, I have parental figures.",Terraria Jungle Biome,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7Oq0zs52zx', 'expanded_url': 'http://www.savewalterwhite.com', 'display_url': 'savewalterwhite.com'}]}}"
947811652703006720,Avilixo,1155,392,𝙼𝚒𝚌𝚑𝚎𝚕𝚎 𝙼𝚘𝚛𝚛𝚘𝚗𝚎 😍 | 𝟻𝟻𝟶𝚔+ 𝚘𝚗 𝚃𝙸𝙺𝚃𝙾𝙺 |,,False,
1047716643584049152,Linkmon99,85318,2381,Content Creator & Investor @YouTube - Founder/CEO of @rbxcity and @rbxtoys_ ⬅️- #LINKMOB Merch ⬇️ Opinions are my own.,linkmonproductions@gmail.com,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gYuCVBjsDD', 'expanded_url': 'http://youtube.com/linkmon99', 'display_url': 'youtube.com/linkmon99'}]}, 'description': {'hashtags': [{'start': 80, 'end': 88, 'tag': 'LINKMOB'}], 'mentions': [{'start': 27, 'end': 35, 'username': 'YouTube'}, {'start': 53, 'end': 61, 'username': 'rbxcity'}, {'start': 66, 'end': 75, 'username': 'rbxtoys_'}]}}"
828495957964656642,greenlegocats,102158,15475,"Roblox player since 2012. 1m+ place visits, 150m+ views, many amazing fans.
YT - greenlegocats123
IG - greenlegocats123
Discord - Disabled :(",Canada,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CjFNGcUze5', 'expanded_url': 'http://youtube.com/greenlegocats123', 'display_url': 'youtube.com/greenlegocats1…'}]}}"
