userid,username,followers,tweets,profile_desc,location,verified,entities
1460585822558699524,SonicGa24585312,36,971,professional #1 sonic and the black knight fan/sonic exe deserves an L/block = i own u/f#rries must be blocked once spotted,meth lab ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Nihc1BfSbF', 'expanded_url': 'https://youtube.com/c/germanigameing', 'display_url': 'youtube.com/c/germanigamei…'}]}}"
1421045033533313024,smoothiescool,255,18472,he/him - alt account: @AltSmoothie - #Roadto300,,False,"{'description': {'hashtags': [{'start': 37, 'end': 47, 'tag': 'Roadto300'}], 'mentions': [{'start': 22, 'end': 34, 'username': 'AltSmoothie'}]}}"
1507669868274880513,SillysLilDonut,328,2881,"alt=@RosasDonutalt
#OliviaArmy #Keroppi #melodyarmy
 Angelic & Izzy is bestay🤍/ #Angelicroadto300 ❤️💚💗🖤",Everyone is the best! 💗✨,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZoyGOuDED6', 'expanded_url': 'https://youtube.com/c/SillyRoblox', 'display_url': 'youtube.com/c/SillyRoblox'}]}, 'description': {'hashtags': [{'start': 19, 'end': 30, 'tag': 'OliviaArmy'}, {'start': 31, 'end': 39, 'tag': 'Keroppi'}, {'start': 40, 'end': 51, 'tag': 'melodyarmy'}, {'start': 80, 'end': 97, 'tag': 'Angelicroadto300'}], 'mentions': [{'start': 4, 'end': 18, 'username': 'RosasDonutalt'}]}}"
1284175445366386688,WhirlpoolNation,14398,15662,|| Whirlpool || Content Creator ❤️‍🔥 || Twitch Streamer 💜 || Youtuber ❤️ || 50k+ on TikTok https://t.co/EmYax6qmYA || banner by: @InatorSus,He/Him ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vs2fJq5eXB', 'expanded_url': 'https://youtube.com/c/WhirlpoolMadness', 'display_url': 'youtube.com/c/WhirlpoolMad…'}]}, 'description': {'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/EmYax6qmYA', 'expanded_url': 'https://www.twitch.tv/whirlpoolnationIFka', 'display_url': 'twitch.tv/whirlpoolnatio…'}], 'mentions': [{'start': 129, 'end': 139, 'username': 'InatorSus'}]}}"
1449996172517543940,JudiHare1,244,1147,"STARCODE: IamSanna Silly Pizza!! Happy pride month!!
#elmoarmy #melodyarmy
 #Angelicroadto300✨ Rosa Izzy Buttercup Lavender is bestay🌈💗 
💗Credits to Rosa 💗",🍩 Silly's Donut Castle 🍩,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RluvN6DFHV', 'expanded_url': 'https://www.roblox.com/users/1729202859/profile', 'display_url': 'roblox.com/users/17292028…'}]}, 'description': {'hashtags': [{'start': 53, 'end': 62, 'tag': 'elmoarmy'}, {'start': 63, 'end': 74, 'tag': 'melodyarmy'}, {'start': 76, 'end': 93, 'tag': 'Angelicroadto300'}]}}"
1505034483036463104,itslonleyizzyqq,103,2398,"❀ Im Izzy
         — ˗ˋ ୨୧ ˊ˗ —
ˏˋ Daily #roblox #olivia  ˎˊ
𖤐┊Your 𝗹𝗼𝘃𝗲𝗱
 ꒰ 🗒:: 𝐈 𝐥𝐨𝐯𝐞 𝐲𝐨𝐮!💌 ꒱┊OLIVIA┊𝘁𝗮𝗴𝘀:: #OliviaArmy┊
ʚɞ 🦩💫🌾🌺🙄✋",Not really Izzy,False,"{'description': {'hashtags': [{'start': 41, 'end': 48, 'tag': 'roblox'}, {'start': 49, 'end': 56, 'tag': 'olivia'}, {'start': 110, 'end': 121, 'tag': 'OliviaArmy'}]}}"
347591743,LeahAshe,500714,10890,Business inquiries: ♡ ☻ TheLeahAshe@gmail.com • Pink Queen 👑 • 🌟CODE: LEAHASHE when buying Robux • 4M Angels,"Los Angeles, CA",True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eJXjtT2P7h', 'expanded_url': 'https://www.youtube.com/channel/UCyQVt6PHgeW2kmh7mYJfGdQ', 'display_url': 'youtube.com/channel/UCyQVt…'}]}}"
1405716027313246214,melodykyllieee,1540,20463,"use ⭐ code iamSanna,Pizza and Silly😍• katelyn is my bestie🤍•#MelodyArmy #KuromiArmy #ElmoArmy🫶🏻• melody and kuromi da best 💜💗",stop searching up my profile ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gMLhPcxUO0', 'expanded_url': 'http://iamSannaShop.com', 'display_url': 'iamSannaShop.com'}]}, 'description': {'hashtags': [{'start': 60, 'end': 71, 'tag': 'MelodyArmy'}, {'start': 72, 'end': 83, 'tag': 'KuromiArmy'}, {'start': 84, 'end': 93, 'tag': 'ElmoArmy'}]}}"
1424042730410455048,SannasLilToes,281,11410,"💜starcode: iamsanna, silly & pizza!💜#OliviaArmy #ArianaArmy #KuromiArmy #ElmoArmy #MelodyArmy💜gabby is mah ride or die💜",gabby is da best,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SXyvlzm9iN', 'expanded_url': 'http://iamsannashop.com', 'display_url': 'iamsannashop.com'}]}, 'description': {'hashtags': [{'start': 36, 'end': 47, 'tag': 'OliviaArmy'}, {'start': 48, 'end': 59, 'tag': 'ArianaArmy'}, {'start': 60, 'end': 71, 'tag': 'KuromiArmy'}, {'start': 72, 'end': 81, 'tag': 'ElmoArmy'}, {'start': 82, 'end': 93, 'tag': 'MelodyArmy'}]}}"
1189727759435784193,moodyxunicorn,104287,1297,🌙 || Twin sister to @sunnyxunicorn || Love you Unicorn Family❤️🦄🌨❤🔥🖤🌪💣:,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FvGObKRzDp', 'expanded_url': 'https://www.youtube.com/channel/UCw8kOfFI6F8CspoeHhDdOaA/featured?disable_polymer=1', 'display_url': 'youtube.com/channel/UCw8kO…'}]}, 'description': {'mentions': [{'start': 20, 'end': 34, 'username': 'sunnyxunicorn'}]}}"
