post_id,post_url,id,author,content,created_date
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,158796,,"i wish the pc companies would get together with nintendo and try to figure out a way to bring more pc only games to nintendo. i will never be able to play cod with friends because there's no way to on a switch. there's been quite a few pc only games i've seen that interest me. the so called ""similar"" ones that switch offers up don't always have the best gameplay or mechanics. if they can offer us fortnite with all that goes into that game i don't understand why they couldn't have a switch version of cod that played the same. your thoughts in things like this?",2022-07-20T22:06:09Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,158802,,"The Switch is a good system, but it's now running on 5 year old tablet based architecture and has it's limitations.  You can't realistically every game that comes out over the next couple of years that have been optimized for PC's and PS5/XBox Series X consoles to run on that kind of system.",2022-07-20T22:26:21Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,158803,,"It's not a wrong thought, but Nintendo switch is built for its own purpose and it's style and mode of operation is not going to be compatible with the kind of games that could be on PC.   Let's see if there could something like that in the future.         runswithspatulas        1",2022-07-20T22:33:46Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,158809,,"I'd like to twist the idea for this topic the other way. Instead of PC games coming to the switch, which would be kinda hard based off of the switch's hardware. Why not instead, release some of the Nintendo games on PC, like classics and even some of the newer games, like Breath of the Wild, or Super Mario Odyssey. I know Nintendo would never do it, but it makes more sense for Nintendo games coming out on PC than the other way around, at least in my opinion.",2022-07-20T22:52:14Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,159449,,"Honestly I’d be kinda bummed if it came to pc. Nintendo for better or worse has always been in an innovator of ways to play games, and their technology is a testament to that. Nintendo is also the cheapest option so I feel that the people who want to play these games anyway, will buy them for themselves or families. People said it would never happen with Sony and look what happened, PC is just getting bigger and Nintendo will cave in eventually.",2022-07-26T10:43:18Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,159536,,"On 7/26/2022 at 6:43 PM,   Empire said:    Honestly I’d be kinda bummed if it came to pc. Nintendo for better or worse has always been in an innovator of ways to play games, and their technology is a testament to that. Nintendo is also the cheapest option so I feel that the people who want to play these games anyway, will buy them for themselves or families. People said it would never happen with Sony and look what happened, PC is just getting bigger and Nintendo will cave in eventually.     Yeah I get that. Keeping the Nintendo games on their own consoles.    I just don't think Nintendo needs PC games on their consoles. I think their focus is mostly on consoles and their games.    But I think it'd be cool to have some Nintendo games come to pc and some PC games come to Nintendo.",2022-07-26T18:22:37Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,159546,,"Due to the greed of the companies involved, most of what you're asking for will never become a reality. Nintendo is so protective of their assets that they'd never want to port their games to PC. Everything must stay on their platform only.",2022-07-26T18:48:30Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,163049,,"On 7/21/2022 at 6:52 AM,   Kane99 said:    I'd like to twist the idea for this topic the other way. Instead of PC games coming to the switch, which would be kinda hard based off of the switch's hardware. Why not instead, release some of the Nintendo games on PC, like classics and even some of the newer games, like Breath of the Wild, or Super Mario Odyssey. I know Nintendo would never do it, but it makes more sense for Nintendo games coming out on PC than the other way around, at least in my opinion.       Breath of the wild would be a good game to be available on PC it has so much potentials in my opinion and I enjoy playing it quite a lot.   For a platformer like super Mario Odyssey they chances of that ever been possible is minimal.",2022-08-19T06:41:13Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,163439,,"On 7/27/2022 at 2:48 AM,   killamch89 said:    Due to the greed of the companies involved, most of what you're asking for will never become a reality. Nintendo is so protective of their assets that they'd never want to port their games to PC. Everything must stay on their platform only.     If Nintendo is actually doing something to protect their brand, I'm not really going to call it greed. Yes, it is something that they can be able to do if it is possible for them to do it, but if it is not going to be of more benefit to them, that it's when I would understand their reason for not sanctioning it.",2022-08-20T19:54:41Z
14764,https://www.vgr.com/forum/topic/14764-wishful-thinking/?do=findComment&comment=163564,163463,,"When was the last time a game like cod was released on a Nintendo console? I think it was the wii, maybe the wii u. But I don't think any came out for the switch. I think it'd be great and could easily be possible. They can easily tone down the graphics to work on the switch if needed. And I bet most games could do it too.",2022-08-20T20:42:51Z
