post_id,post_url,author,id,joined_date,created_date,content
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,KripticPK,369104,2021-03-09T13:08:31-0500,2021-03-09T13:13:44-0500,Roblox
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,MysteryMagicalMyth,369108,2020-11-16T17:31:38-0500,2021-03-09T13:16:48-0500,I don't want ROBLOX to have voice chat because kids sometimes lie their age.
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,hellodoodie,369109,2020-07-25T11:55:41-0400,2021-03-09T13:18:35-0500,"i feel like it would be easier if u could just use discord or some other communicating sites (like skype ?), and i feel like it would be chaos since there is no way to filter vc"
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,doug,369118,2021-02-22T15:54:39-0500,2021-03-09T13:29:52-0500,i mean if you want to become deaf listening to 8 year olds with their tablet mics then voice chat is good for you
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,KripticPK,369119,2021-03-09T13:08:31-0500,2021-03-09T13:32:09-0500,"doug said:



i mean if you want to become deaf listening to 8 year olds with their tablet mics then voice chat is good for you

Click to expand...

Yea it would be annoying but it won't work the way you thought it would be since Roblox allows voice chat for 13+ and older but it would be weird hearing Emo kids and copy an pastes say MIC UP to you lol"
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,Coolcats,369122,2018-02-24T13:46:32-0500,2021-03-09T13:33:10-0500,"KripticPK said:





doug said:



i mean if you want to become deaf listening to 8 year olds with their tablet mics then voice chat is good for you

Click to expand...

Yea it would be annoying but it won't work the way you thought it would be since Roblox allows voice chat for 13+ and older but it would be weird hearing Emo kids and copy an pastes say MIC UP to you lol

Click to expand...

I mean who says the under 13s won't lie about their age"
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,Pristine791,369128,2021-03-09T13:33:06-0500,2021-03-09T13:37:35-0500,"i dont think so cause i feel it would VERY chaotic and would have 
many swears cause there isnt really a way to monitor voices"
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,james2251,369134,2020-10-21T07:35:11-0400,2021-03-09T13:46:05-0500,"I really think there should be a filter that censors cuss words, just imagine all of the younger players hearing the older players cuss. Yikes."
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,KripticPK,369135,2021-03-09T13:08:31-0500,2021-03-09T13:47:39-0500,"james2251 said:



I really think there should be a filter that censors cuss words, just imagine all of the younger players hearing the older players cuss. Yikes.I

Click to expand...

I think they are doing something with that but all i know is that older players are allowed to use it and you can't hear people's voices from far distance so it would kinda be like VR chat lol"
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,dustydan2,369172,2021-03-04T21:08:26-0500,2021-03-09T14:12:10-0500,"I voted yes, because the filtering system is already implemented, but for granted kids might mispronounce certain words leaving nothing but tags and the older kids be like wha."
369104,https://www.robloxforum.com/threads/roblox-voice-chat.67584/post-369104,flyvt,369184,2020-11-19T13:45:54-0500,2021-03-09T14:15:58-0500,"coolcats said:





KripticPK said:





doug said:



i mean if you want to become deaf listening to 8 year olds with their tablet mics then voice chat is good for you

Click to expand...

Yea it would be annoying but it won't work the way you thought it would be since Roblox allows voice chat for 13+ and older but it would be weird hearing Emo kids and copy an pastes say MIC UP to you lol

Click to expand...

I mean who says the under 13s won't lie about their age

Click to expand...

roblox trusts it's users too much these days, they removed number filters and now voice chat.."
105843,https://www.robloxforum.com/threads/roblox-is-really-good-as-youtube.16962/post-105843,Minseung03,105843,2018-02-19T11:45:57-0500,2018-06-21T10:40:15-0400,Roblox is really good as Youtube because roblox has chat filter. am I right?
105843,https://www.robloxforum.com/threads/roblox-is-really-good-as-youtube.16962/post-105843,Jakkeriy,105845,2018-03-01T15:45:51-0500,2018-06-21T10:41:16-0400,it's as good?
105843,https://www.robloxforum.com/threads/roblox-is-really-good-as-youtube.16962/post-105843,Minseung03,105847,2018-02-19T11:45:57-0500,2018-06-21T10:42:22-0400,"Jakkeriy said:



it's as good?

Click to expand...

Yes (I think)"
105843,https://www.robloxforum.com/threads/roblox-is-really-good-as-youtube.16962/post-105843,M4C361,108298,2018-06-25T08:42:32-0400,2018-06-26T05:48:11-0400,proper good mate
115492,https://www.robloxforum.com/threads/roblox-is-funner.18883/post-115492,matt32711,115492,2018-07-10T12:12:35-0400,2018-07-10T12:42:08-0400,Roblox has more games to play than Fortnite
115492,https://www.robloxforum.com/threads/roblox-is-funner.18883/post-115492,Cloudslash,115494,2018-04-19T19:34:20-0400,2018-07-10T12:44:58-0400,"Umm, what the hell"
115492,https://www.robloxforum.com/threads/roblox-is-funner.18883/post-115492,AppleStore,116846,2018-02-18T15:41:00-0500,2018-07-12T19:18:24-0400,why am i writing on a 2 day old post
115492,https://www.robloxforum.com/threads/roblox-is-funner.18883/post-115492,instantRamen,116859,2018-07-07T18:34:51-0400,2018-07-12T19:46:09-0400,we do not talk about faortae in this household
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,Marshie,98144,2018-05-31T00:37:43-0400,2018-06-05T01:45:54-0400,"Roblox+ calls my alt (0x1m) Zero by One meter 
?"
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,HEERPDEERPISANOOB,98307,2018-06-04T19:12:36-0400,2018-06-05T11:47:52-0400,lol
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,Pepsi,98313,2018-05-16T00:11:44-0400,2018-06-05T11:52:40-0400,"Zero times One Meter = Zero

The answer to understanding roblox is 0"
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,HEERPDEERPISANOOB,98314,2018-06-04T19:12:36-0400,2018-06-05T11:53:03-0400,"Pepsi said:



Zero times One Meter = Zero

The answer to understanding roblox is 0

Click to expand...

thanks bro"
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,Marshie,98711,2018-05-31T00:37:43-0400,2018-06-06T02:42:11-0400,@Pepsi is smart
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,CrashJack799YT,98719,2018-02-19T05:11:25-0500,2018-06-06T04:11:14-0400,"Pepsi said:



Zero times One Meter = Zero

The answer to understanding roblox is 0

Click to expand...

ogm you math sucks XDDDDDDDDDDDDDDDDDD!!!1111!!1!11!!!1"
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,Superpopfizz,98728,2018-06-06T06:48:33-0400,2018-06-06T06:51:41-0400,"It really is weird though for example that ""try"" button on items in the catalog that crashes chrome"
98144,https://www.robloxforum.com/threads/roblox-is-weird.15655/post-98144,Pepsi,98939,2018-05-16T00:11:44-0400,2018-06-06T12:27:00-0400,"Marshie said:



@Pepsi is smart

Click to expand...

im here all week"
511381,https://www.robloxforum.com/threads/roblox-should-accept-other-languages-and-not-tag-them.86765/post-511381,Spsp123,511381,2021-10-10T05:51:05-0400,2021-10-10T05:55:35-0400,Roblox should not tag all languages
511381,https://www.robloxforum.com/threads/roblox-should-accept-other-languages-and-not-tag-them.86765/post-511381,Fletcher,511382,2018-06-06T18:28:10-0400,2021-10-10T05:56:44-0400,they do
530443,https://www.robloxforum.com/threads/roblox-is-having-issues-again.90073/post-530443,wookiebear47,530443,2021-11-28T04:28:26-0500,2021-11-28T04:28:46-0500,roblox chat filter is slowing down in some games
530443,https://www.robloxforum.com/threads/roblox-is-having-issues-again.90073/post-530443,vahanag,530444,2021-11-28T04:38:51-0500,2021-11-28T04:39:59-0500,"wookiebear47 said:



roblox chat filter is slowing down in some games

Click to expand...

yes"
